barcode,collector,overflow_capacity,last_reading_date,tank_type_label,tank_type_id,nominal_capacity,container_type_label,tank_name,key_maker,container_type_id,tank_status_label,current_volume,id,tank_status_id,fill_level
2022-F.W-00046,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 23:36:29,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Marinette,9a137b0ea86c167d60f3587dd1bc8a3c,18,En service,35.63,0e07b84a50bf2cbd1dff8e9fdca03e47,3001,42.93
2022-F.W-00052,18435351e5ed4efccfbbb896d5e80925,83.00,2024-02-01 00:02:06,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Nadine,8bcd355b787bfadc4b0360c3a49bd827,18,En service,62.20,f6add1fd21ea2c9a61ea28650ede55c3,3001,74.94
2022-F.W-00074,18435351e5ed4efccfbbb896d5e80925,83.00,2024-02-01 18:26:36,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Wallen,a4ab036d9ff4742dd5b333f4c87ab294,18,En service,31.98,8c35a5cdfc5ec2794dadac9bdbd1acef,3001,38.53
2022-F.W-00032,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-18 13:30:51,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Hian,b42470f8d6d8f79b7b46b4c3d436eb18,18,En service,0.00,c11586d756287ee1399de7d18a749033,3001,0.00
2022-F.W-00020,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-23 09:16:36,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Alma,087aa81e3b650425be1c61f95acdd23a,18,En service,0.00,51fe53f0571a57a3e0cac9f4547b8825,3001,0.00
2022-F.W-00068,18435351e5ed4efccfbbb896d5e80925,83.00,2024-02-01 14:18:54,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Sylvène,9767683f6a0f70d75cd6ebe50d4a0715,18,En service,31.63,337c07964c720a60279934e6163bae6c,3001,38.11
2022-F.W-00054,18435351e5ed4efccfbbb896d5e80925,83.00,2024-02-01 00:09:57,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Neela,8032e866f27d12c6657583770600361b,18,En service,54.66,ce96f3e207c93e6c2ee0049bd6dc5332,3001,65.86
2022-F.W-00008,18435351e5ed4efccfbbb896d5e80925,82.00,2024-01-30 23:18:26,Cuve fixe (maker),3275,70.00,Type 1 - 70 litres - Inox,Chonos,5bbc0e083d26edaa2df96d3e612e98a4,72,En service,49.22,b43b68fcc73318b7feb40e6f9faaecb5,3001,60.02
2022-F.W-00142,18435351e5ed4efccfbbb896d5e80925,83.00,2024-02-01 09:45:20,,0,70.00,Type 4 - 83 litres - Plastique,Ahmed,e455ad5da33aac91ec0e8684469b6ad1,18,En service,21.70,9962a50430b2ec83c7e34b1c9cc5b071,3001,26.14
2022-F.W-00067,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 23:30:32,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Sophia,7450cc51b26f2f398a82cca1d7ac86bd,18,En service,51.29,e070ad20f12faad09d5f63c1b9f7e894,3001,61.80
2022-F.W-00065,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 23:37:10,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Sacha,0a166e1dd575eda8148d56c1abce8f18,18,En service,56.64,2a81f6997ef15047a19fe4b3b06df651,3001,68.24
2022-F.W-00166,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-17 10:15:10,,0,70.00,Type 4 - 83 litres - Plastique,Gérard,5540f3ac309c9b873f3ca35c47f25d5f,18,En service,20.50,59ac130e09cd13e35dd9091832943835,3001,24.70
2022-F.W-00003,18435351e5ed4efccfbbb896d5e80925,82.00,2024-01-31 22:55:13,Cuve fixe (maker),3275,70.00,Type 1 - 70 litres - Inox,Fuego,a1861c78b03185e5416b1ebebb94916e,72,En service,49.84,86b467641c7e9f8256e56ddae7f038d1,3001,60.78
2022-F.W-00012,18435351e5ed4efccfbbb896d5e80925,83.00,2024-02-01 11:34:48,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Adelaïde,e596be374b5547af4b48af76e711f64b,18,En service,37.09,d9aba0f9e2078515b3a6b5f4464e3597,3001,44.69
2022-F.W-00213,18435351e5ed4efccfbbb896d5e80925,359.00,2024-01-31 23:42:11,,0,350.00,Type 6 - 350 litres - Inox,Quickos,96c8c21ec42beb2570ef88c2d6331e46,1128,En service,165.00,bf49c3f75cc32eb224d5dcb19cb45d27,3001,45.96
2022-F.W-00070,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 23:18:25,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Ugo,a9b0634b26c177895ed3dc0c8d595ea0,18,En service,45.43,d8d2530262fac200b380f8a08e2afc27,3001,54.73
2022-F.W-00169,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-29 23:16:46,,0,70.00,Type 4 - 83 litres - Plastique,Romain,979bd2450c4b1daa629183b02be17965,18,En service,84.56,d06a9c1255b7b8db5cfac56f0f4e4204,3001,101.88
